pkey,gender,age,birth_year,education,has_spouse_raw,has_child_raw,num_children,youngest_child_age,emp_status,work_style,contract_type,industry,firm_size,occupation,position,weekly_hours,annual_income,current_job_start_year,intention,ev_quit,ev_started_job
53,2,40,1984,6,1,1,2,6.0,1,1,2,5,5,4,2,37.0,724,2012,3,0,0
54,2,49,1975,4,1,1,3,6.0,1,1,1,9,5,10,2,33.0,81,2011,3,0,0
55,2,50,1974,2,1,2,0,,1,1,3,16,1,3,8,38.0,282,2018,3,0,0
56,2,49,1975,2,2,2,0,,1,1,1,13,2,12,8,35.0,578,2017,4,0,0
57,1,47,1977,3,1,2,0,,1,1,1,9,6,10,8,40.0,321,1995,4,0,0
58,2,42,1982,5,2,2,0,,1,1,1,13,4,8,3,51.0,321,2023,4,0,0
59,1,48,1976,6,1,2,0,,1,1,2,1,1,1,8,53.0,804,2001,2,0,0
60,1,59,1965,6,1,2,0,,1,1,5,13,5,6,8,36.0,576,2013,4,0,0
61,2,38,1986,5,1,1,1,8.0,1,1,4,2,6,2,8,40.0,685,2004,3,0,0
62,1,43,1981,5,1,1,2,18.0,1,1,1,7,2,12,8,22.0,488,2016,4,0,0
63,2,30,1994,4,1,2,0,,1,1,3,6,5,5,8,39.0,526,2012,4,0,0
64,2,37,1987,5,1,1,1,13.0,1,1,1,12,7,10,8,33.0,629,2006,3,0,0
65,2,53,1971,5,1,2,0,,1,1,1,5,4,11,2,40.0,746,2012,4,0,0
66,2,48,1976,6,1,1,3,13.0,1,1,4,5,2,2,8,25.0,117,1999,4,0,0
67,2,31,1993,5,2,2,0,,1,1,1,16,7,10,8,35.0,491,2011,4,0,0
68,1,44,1980,4,2,2,0,,1,1,4,9,7,4,2,26.0,399,2013,3,0,0
69,1,55,1969,4,1,2,0,,1,1,1,13,4,2,2,36.0,395,2001,3,0,0
70,1,27,1997,3,2,2,0,,1,1,1,10,3,4,8,56.0,678,2015,4,0,0
71,1,25,1999,6,1,1,3,6.0,1,1,1,11,6,7,2,30.0,560,2017,4,0,0
72,1,38,1986,3,1,1,2,15.0,1,1,4,12,1,11,1,30.0,917,2008,4,0,0
73,2,49,1975,2,1,1,2,6.0,1,1,1,12,3,9,3,37.0,642,2012,3,0,0
74,1,35,1989,4,1,1,3,16.0,1,1,3,16,4,3,3,31.0,586,2009,2,0,0
75,1,55,1969,6,1,1,3,16.0,1,1,1,14,5,4,3,47.0,228,1995,4,0,0
76,1,56,1968,5,1,1,2,3.0,1,1,2,6,5,4,8,31.0,256,2011,3,0,0
77,1,44,1980,5,1,2,0,,1,1,1,3,3,9,8,26.0,282,1998,4,0,0
78,2,38,1986,5,1,1,1,1.0,1,1,1,15,7,7,2,42.0,769,2017,3,0,0
79,2,24,2000,3,2,2,0,,1,1,2,7,5,1,2,48.0,233,2018,1,0,0
80,2,55,1969,6,1,2,0,,1,1,2,6,4,1,3,39.0,283,2012,1,0,0
81,2,58,1966,4,1,2,0,,1,1,1,2,7,1,8,33.0,213,2021,4,0,0
82,1,40,1984,2,1,2,0,,1,1,1,10,1,12,8,41.0,1036,2002,4,0,0
83,2,43,1981,5,1,1,1,13.0,1,1,1,9,5,7,3,43.0,420,2011,4,0,0
84,1,53,1971,3,1,1,2,15.0,1,1,4,15,7,6,8,48.0,570,2018,4,0,0
85,1,50,1974,3,2,2,0,,1,1,2,13,5,10,8,42.0,314,2003,4,0,0
86,1,28,1996,6,1,1,1,16.0,1,1,3,13,4,3,8,22.0,605,2014,4,0,0
87,2,49,1975,5,1,1,2,2.0,1,1,2,10,3,1,8,37.0,100,1993,4,0,0
88,1,59,1965,4,1,1,1,6.0,1,1,3,15,2,4,8,34.0,240,2018,4,0,0
89,1,53,1971,5,1,2,0,,1,1,1,17,4,3,8,36.0,319,1998,3,0,0
90,1,42,1982,5,1,1,2,4.0,1,1,1,14,7,10,3,17.0,601,2011,4,0,0
91,1,43,1981,3,1,1,3,6.0,1,1,2,6,4,10,3,34.0,428,2024,1,1,1
92,2,33,1991,3,2,2,0,,1,1,1,5,1,8,8,28.0,710,2009,4,0,0
93,1,49,1975,5,2,2,0,,1,1,1,1,4,11,2,43.0,439,2000,3,0,0
94,1,32,1992,5,1,1,1,16.0,1,1,2,17,1,6,2,38.0,397,2010,4,0,0
95,1,36,1988,7,1,2,0,,1,1,3,13,7,3,8,41.0,590,2006,4,0,0
96,2,33,1991,5,1,1,1,9.0,1,1,2,16,4,4,8,45.0,433,2022,3,0,0
97,1,36,1988,3,1,2,0,,1,1,1,14,2,2,8,34.0,363,2006,4,0,0
98,1,37,1987,5,1,1,3,4.0,1,1,5,8,5,11,8,40.0,716,2017,4,0,0
99,1,26,1998,5,2,2,0,,1,1,1,3,4,8,8,44.0,80,2016,4,0,0
100,2,51,1973,3,1,1,2,18.0,1,1,1,1,4,10,8,53.0,599,2003,4,0,0
101,2,40,1984,5,2,2,0,,1,1,5,14,5,4,3,53.0,293,2016,4,0,0
102,2,60,1964,4,1,1,2,8.0,1,1,2,6,7,9,2,44.0,270,2013,4,0,0
103,1,30,1994,6,2,2,0,,1,1,4,7,6,4,8,34.0,782,2012,4,0,0
104,2,49,1975,6,1,2,0,,1,1,3,15,2,6,8,58.0,338,2002,4,0,0
105,2,30,1994,5,2,2,0,,1,1,2,9,2,8,3,49.0,612,2024,3,1,1
106,2,44,1980,7,1,1,1,5.0,1,1,1,17,7,12,1,48.0,466,1998,4,0,0
107,1,42,1982,7,1,2,0,,1,1,1,10,5,7,8,50.0,500,2000,4,0,0
108,1,40,1984,3,2,2,0,,1,1,4,15,1,9,8,36.0,426,2019,4,0,0
109,1,49,1975,5,1,1,1,6.0,1,1,3,3,4,8,8,30.0,409,2013,4,0,0
110,2,56,1968,5,1,1,2,12.0,1,1,1,7,1,6,2,39.0,664,1996,4,0,0
111,1,35,1989,3,1,1,3,8.0,1,1,1,4,1,12,8,43.0,549,2011,4,0,0
112,1,56,1968,5,1,2,0,,1,1,1,1,2,12,3,39.0,369,2020,4,0,0
113,1,30,1994,4,1,1,1,0.0,1,1,1,17,2,4,8,34.0,232,2012,4,0,0
114,2,34,1990,7,2,2,0,,1,1,3,9,1,11,8,57.0,360,2008,3,0,0
115,1,35,1989,5,2,2,0,,1,1,1,7,6,6,8,48.0,640,2007,4,0,0
116,2,61,1963,5,1,1,2,12.0,1,1,1,7,4,9,8,37.0,633,1992,3,0,0
117,2,27,1997,5,1,1,3,3.0,1,1,4,5,4,7,8,63.0,662,2018,2,0,0
118,2,38,1986,3,2,2,0,,1,1,1,3,7,10,1,26.0,135,2004,2,0,0
119,1,39,1985,6,1,2,0,,1,1,1,16,6,11,3,32.0,518,2003,3,0,0
120,2,55,1969,2,1,1,3,16.0,1,1,1,2,6,6,8,48.0,721,1992,4,0,0
121,2,42,1982,3,1,1,3,13.0,1,1,1,7,2,9,8,46.0,462,2006,2,0,0
122,2,61,1963,5,1,1,2,17.0,1,1,1,3,6,7,2,29.0,662,1997,4,0,0
123,1,52,1972,5,1,1,1,13.0,1,1,1,16,7,10,2,44.0,199,2017,2,0,0
124,1,51,1973,5,1,1,3,0.0,1,1,1,4,1,3,8,34.0,458,2020,4,0,0
125,1,53,1971,3,1,2,0,,1,1,1,7,7,9,8,31.0,203,2000,4,0,0
126,1,29,1995,5,2,2,0,,1,1,1,13,7,8,2,48.0,747,2021,2,0,0
127,1,40,1984,4,2,2,0,,1,1,1,10,6,6,2,34.0,584,2002,4,0,0
128,1,46,1978,2,1,2,0,,1,1,4,7,3,5,2,43.0,753,2021,4,0,0
129,1,31,1993,5,1,2,0,,1,1,1,10,2,9,3,28.0,450,2011,4,0,0
130,2,27,1997,3,2,2,0,,1,1,1,8,6,5,3,20.0,420,2015,2,0,0
131,1,28,1996,4,2,2,0,,1,1,3,5,5,1,8,18.0,295,2014,1,0,0
132,2,54,1970,5,2,2,0,,1,1,1,11,6,12,8,45.0,406,2003,3,0,0
133,2,49,1975,5,1,2,0,,1,1,1,7,2,6,3,33.0,312,2008,2,0,0
134,1,34,1990,4,2,2,0,,1,1,3,17,2,2,8,35.0,776,2008,3,0,0
135,2,52,1972,5,1,1,2,4.0,1,1,1,8,7,3,2,35.0,588,2006,4,0,0
136,1,50,1974,4,1,2,0,,1,1,1,13,4,10,8,34.0,153,2001,4,0,0
137,2,55,1969,7,1,1,3,18.0,1,1,2,4,6,4,2,40.0,418,2000,3,0,0
138,1,59,1965,4,1,2,0,,1,1,2,11,7,4,8,50.0,431,2008,4,0,0
139,2,58,1966,4,1,1,1,7.0,1,1,1,10,4,6,3,28.0,284,2011,3,0,0
140,1,30,1994,5,2,2,0,,1,1,1,13,2,1,8,34.0,440,2020,4,0,0
141,1,53,1971,4,1,2,0,,1,1,1,8,7,7,8,49.0,754,1998,3,0,0
142,1,38,1986,4,1,1,2,15.0,1,1,3,13,6,1,8,30.0,569,2015,1,0,0
143,2,39,1985,3,1,1,3,7.0,1,1,1,1,5,11,8,35.0,671,2008,4,0,0
144,2,48,1976,5,1,2,0,,1,1,1,12,7,6,2,40.0,292,1994,4,0,0
145,1,47,1977,5,1,2,0,,1,1,1,13,2,3,3,35.0,401,1998,4,0,0
146,1,39,1985,5,2,2,0,,1,1,4,9,3,6,8,27.0,286,2011,2,0,0
147,1,62,1962,5,1,1,1,1.0,1,1,1,1,1,3,1,32.0,523,2007,2,0,0
148,1,29,1995,5,2,2,0,,1,1,1,10,3,4,8,39.0,446,2013,4,0,0
149,1,26,1998,6,2,2,0,,1,1,1,14,4,2,1,38.0,719,2016,3,0,0
150,1,24,2000,5,2,2,0,,1,1,2,8,4,9,8,40.0,607,2018,1,0,0
151,2,55,1969,6,1,1,1,4.0,1,1,1,2,2,12,2,45.0,635,1993,4,0,0
152,2,39,1985,5,1,1,3,18.0,1,1,4,7,6,6,8,55.0,263,2003,1,0,0
153,1,40,1984,5,2,2,0,,1,1,1,17,4,2,3,44.0,200,2013,4,0,0
154,2,48,1976,4,2,2,0,,1,1,1,5,4,1,8,52.0,565,2015,3,0,0
155,1,40,1984,5,2,2,0,,1,1,1,10,7,10,3,38.0,908,2005,4,0,0
156,2,45,1979,3,1,1,2,18.0,1,1,1,7,4,5,8,33.0,454,2002,4,0,0
157,1,25,1999,5,1,2,0,,1,1,1,13,7,4,8,44.0,140,2017,4,0,0
158,2,29,1995,2,2,2,0,,1,1,2,8,2,2,1,34.0,873,2020,2,0,0
159,2,60,1964,2,1,1,2,19.0,1,1,1,7,6,8,8,43.0,461,2000,4,0,0
160,2,41,1983,6,1,2,0,,1,1,2,10,7,1,3,47.0,415,2020,2,0,0
161,1,29,1995,5,1,1,3,7.0,1,1,1,10,6,11,8,37.0,201,2024,4,1,1
162,2,37,1987,5,2,2,0,,1,1,1,9,7,3,8,38.0,488,2005,4,0,0
163,1,36,1988,5,1,1,3,13.0,1,1,1,5,6,1,2,38.0,617,2006,4,0,0
164,1,33,1991,5,1,1,2,0.0,1,1,1,2,5,9,1,36.0,470,2009,4,0,0
165,2,34,1990,6,2,2,0,,1,1,1,12,6,5,3,33.0,320,2017,4,0,0
166,1,52,1972,5,1,2,0,,1,1,4,6,7,9,8,37.0,438,2001,1,0,0
167,2,27,1997,5,1,1,2,16.0,1,1,4,11,5,1,3,40.0,333,2020,4,0,0
168,2,35,1989,5,1,1,3,0.0,1,1,3,7,5,11,8,22.0,650,2015,4,0,0
169,1,41,1983,5,2,2,0,,1,1,4,15,1,4,8,39.0,665,2018,3,0,0
170,2,44,1980,5,1,2,0,,1,1,1,13,7,10,8,39.0,396,1998,4,0,0
171,1,58,1966,7,1,1,3,6.0,1,1,1,7,6,12,8,25.0,264,2010,3,0,0
172,1,59,1965,5,1,2,0,,1,1,1,6,2,7,3,46.0,535,2005,4,0,0
173,1,34,1990,5,2,2,0,,1,1,4,13,3,5,3,48.0,347,2024,2,1,1
174,2,44,1980,5,1,1,3,0.0,1,1,1,1,2,4,8,46.0,311,1998,4,0,0
175,1,23,2001,5,2,2,0,,1,1,1,1,3,9,2,29.0,227,2019,4,0,0
176,1,47,1977,7,1,1,2,0.0,1,1,2,2,7,1,8,55.0,206,2023,1,0,0
177,1,29,1995,5,2,2,0,,1,1,1,6,4,2,1,36.0,446,2013,4,0,0
178,2,25,1999,5,2,2,0,,1,1,2,9,3,8,2,38.0,544,2024,1,1,1
179,2,49,1975,5,1,2,0,,1,1,1,5,6,1,3,35.0,814,1998,2,0,0
180,2,30,1994,5,2,2,0,,1,1,2,4,3,4,8,36.0,704,2012,2,0,0
181,2,42,1982,2,1,1,2,16.0,1,1,3,6,7,8,1,49.0,259,2023,1,0,0
182,2,27,1997,5,1,1,2,18.0,1,1,2,9,6,4,3,43.0,239,2024,2,1,1
183,1,52,1972,6,1,1,1,9.0,1,1,1,6,2,12,3,38.0,511,2007,3,0,0
184,1,53,1971,5,1,1,2,14.0,1,1,1,10,5,12,8,41.0,417,1999,4,0,0
185,2,45,1979,4,1,1,2,18.0,1,1,1,7,4,1,8,18.0,797,2010,3,0,0
186,2,56,1968,5,1,2,0,,1,1,1,16,3,3,3,38.0,624,2007,4,0,0
187,1,40,1984,5,1,1,1,14.0,1,1,1,17,7,11,2,31.0,82,2021,4,0,0
188,1,30,1994,4,1,1,1,5.0,1,1,1,12,3,1,3,33.0,247,2023,3,0,0
189,2,29,1995,5,2,2,0,,1,1,1,10,1,6,3,44.0,287,2024,1,1,1
190,1,31,1993,5,2,2,0,,1,1,1,1,3,12,8,43.0,546,2016,3,0,0
191,2,31,1993,6,1,2,0,,1,1,4,11,4,8,2,33.0,260,2011,4,0,0
192,1,35,1989,3,2,2,0,,1,1,1,7,1,4,8,45.0,507,2020,3,0,0
193,1,31,1993,4,1,1,2,2.0,1,1,1,5,6,1,2,41.0,172,2017,3,0,0
194,2,46,1978,5,2,2,0,,1,1,1,14,2,5,2,44.0,352,2022,4,0,0
195,1,28,1996,2,2,2,0,,1,1,1,1,1,7,8,38.0,444,2014,1,0,0
196,1,47,1977,5,1,1,1,4.0,1,1,4,5,4,1,3,30.0,589,2013,1,0,0
197,2,36,1988,5,2,2,0,,1,1,1,14,2,7,8,32.0,531,2006,4,0,0
198,2,50,1974,3,1,2,0,,1,1,2,16,6,5,3,38.0,376,2023,4,0,0
199,1,43,1981,5,1,1,1,6.0,1,1,2,9,1,4,1,36.0,656,2021,2,0,0
200,1,59,1965,7,1,1,3,1.0,1,1,3,9,3,12,8,37.0,460,2011,3,0,0
201,2,40,1984,5,2,2,0,,1,1,2,17,1,11,8,45.0,601,2014,3,0,0
202,2,34,1990,5,2,2,0,,1,1,2,2,3,9,8,20.0,449,2024,1,1,1
203,1,46,1978,5,1,2,0,,1,1,1,9,7,8,8,44.0,440,1996,4,0,0
204,1,49,1975,4,1,2,0,,1,1,1,5,5,6,8,48.0,213,2022,4,0,0
205,1,40,1984,3,1,1,1,11.0,1,1,2,9,4,1,2,38.0,561,2013,4,0,0
206,1,45,1979,5,1,1,2,19.0,1,1,1,16,2,4,8,42.0,587,2012,4,0,0
207,1,41,1983,5,1,2,0,,1,1,1,11,3,1,8,45.0,358,2001,3,0,0
208,2,35,1989,4,1,1,3,0.0,1,1,1,17,3,5,2,39.0,342,2007,4,0,0
209,1,35,1989,2,2,2,0,,1,1,1,9,5,6,8,41.0,477,2013,4,0,0
210,1,59,1965,6,1,1,3,8.0,1,1,1,15,2,8,8,36.0,268,2001,4,0,0
211,2,50,1974,2,2,2,0,,1,1,1,3,7,5,8,30.0,154,2021,2,0,0
212,2,26,1998,5,2,2,0,,1,1,1,6,5,4,8,27.0,530,2016,3,0,0
213,1,61,1963,5,1,1,3,3.0,1,1,1,5,3,9,8,47.0,425,1992,4,0,0
214,2,51,1973,5,1,1,1,16.0,1,1,1,14,1,2,1,35.0,431,2007,4,0,0
215,2,25,1999,4,1,1,1,7.0,1,1,2,9,5,2,3,35.0,300,2024,4,1,1
216,2,52,1972,4,1,1,3,3.0,1,1,1,4,4,9,3,28.0,622,2001,4,0,0
217,1,46,1978,5,1,1,1,15.0,1,1,2,3,5,8,8,40.0,448,2003,3,0,0
218,1,59,1965,5,1,2,0,,1,1,1,7,5,11,8,47.0,251,2001,4,0,0
219,2,42,1982,4,1,1,2,8.0,1,1,1,3,5,9,2,28.0,305,2000,4,0,0
220,1,43,1981,5,1,1,2,3.0,1,1,2,12,6,11,8,42.0,598,2021,3,0,0
221,1,35,1989,5,1,1,2,10.0,1,1,3,15,4,8,3,41.0,449,2007,3,0,0
222,1,35,1989,4,1,1,1,5.0,1,1,2,17,6,11,3,31.0,269,2007,4,0,0
223,2,47,1977,5,1,1,1,12.0,1,1,2,5,3,3,2,37.0,282,1995,3,0,0
224,2,56,1968,3,1,1,1,12.0,1,1,2,8,7,7,8,37.0,531,2010,4,0,0
225,1,58,1966,5,1,1,3,12.0,1,1,2,9,3,12,3,38.0,486,2004,4,0,0
226,2,53,1971,3,1,1,3,0.0,1,1,2,9,5,10,1,48.0,468,2011,4,0,0
227,1,47,1977,5,1,1,2,8.0,1,1,2,8,7,5,8,48.0,572,1996,3,0,0
228,2,43,1981,5,1,2,0,,1,1,1,4,3,12,3,38.0,368,2009,4,0,0
229,2,36,1988,5,1,1,1,1.0,1,1,1,2,1,4,8,44.0,498,2012,4,0,0
230,1,53,1971,5,1,2,0,,1,1,1,7,2,1,8,34.0,473,2001,3,0,0
231,1,35,1989,6,2,2,0,,1,1,1,2,2,10,1,29.0,509,2023,1,0,0
232,1,33,1991,5,2,2,0,,1,1,2,2,1,5,1,38.0,86,2010,4,0,0
233,2,57,1967,6,1,1,1,1.0,1,1,1,9,4,1,8,40.0,273,2015,3,0,0
234,2,46,1978,4,1,2,0,,1,1,1,15,2,3,8,42.0,210,2010,4,0,0
235,2,37,1987,5,1,1,2,4.0,1,1,2,10,1,1,8,36.0,353,2008,4,0,0
236,2,57,1967,3,1,2,0,,1,1,1,1,1,12,3,50.0,511,2020,4,0,0
237,1,61,1963,5,1,2,0,,1,1,3,15,2,11,3,41.0,484,2023,4,0,0
238,2,35,1989,5,1,1,3,2.0,1,1,1,12,3,12,2,41.0,382,2009,4,0,0
239,1,43,1981,6,1,1,2,0.0,1,1,1,6,7,3,8,32.0,322,2011,4,0,0
240,1,42,1982,5,1,1,1,18.0,1,1,1,5,5,10,8,47.0,571,2017,4,0,0
241,2,51,1973,5,1,1,2,17.0,1,1,1,16,6,7,8,35.0,808,1992,3,0,0
242,2,61,1963,4,1,2,0,,1,1,1,9,5,4,8,51.0,405,1996,2,0,0
243,1,44,1980,2,1,2,0,,1,1,1,3,6,9,8,35.0,364,2007,4,0,0
244,1,54,1970,5,1,1,1,14.0,1,1,1,5,3,12,2,44.0,256,2011,1,0,0
245,2,46,1978,4,1,1,2,19.0,1,1,1,5,1,6,8,59.0,557,2007,3,0,0
246,2,58,1966,3,1,1,1,10.0,1,1,2,7,4,1,3,50.0,328,1993,4,0,0
247,2,39,1985,6,1,2,0,,1,1,1,6,1,11,2,48.0,121,2015,3,0,0
248,1,38,1986,7,1,1,1,19.0,1,1,1,10,2,3,8,47.0,178,2004,4,0,0
249,1,39,1985,5,1,1,3,14.0,1,1,1,6,6,3,8,33.0,618,2003,3,0,0
250,1,62,1962,5,1,1,3,7.0,1,1,4,11,4,8,3,40.0,595,1999,3,0,0
251,2,47,1977,6,1,2,0,,1,1,2,9,5,10,8,41.0,718,1995,4,0,0
252,2,29,1995,4,2,2,0,,1,1,5,16,4,10,8,48.0,496,2013,2,0,0
253,1,24,2000,5,1,1,2,15.0,1,1,4,15,4,11,8,52.0,313,2020,1,0,0
254,1,43,1981,5,1,2,0,,1,1,1,6,3,11,8,44.0,343,2014,4,0,0
255,1,55,1969,6,1,2,0,,1,1,2,1,2,2,8,42.0,151,2017,3,0,0
256,2,42,1982,6,2,2,0,,1,1,1,10,2,4,8,35.0,147,2004,3,0,0
257,2,45,1979,5,1,2,0,,1,1,4,6,6,9,8,39.0,450,2009,4,0,0
258,1,54,1970,3,1,1,2,1.0,1,1,1,16,7,5,3,50.0,601,2020,4,0,0
259,1,43,1981,5,1,1,3,5.0,1,1,1,7,1,9,8,38.0,925,2005,4,0,0
260,2,59,1965,4,1,1,1,2.0,1,1,4,5,4,6,8,31.0,406,2018,4,0,0
261,1,48,1976,6,1,1,2,3.0,1,1,3,6,4,6,8,43.0,186,2009,4,0,0
262,2,52,1972,3,1,2,0,,1,1,4,15,4,1,8,41.0,493,2023,4,0,0
263,1,54,1970,3,1,1,1,7.0,1,1,1,2,2,8,8,44.0,371,1995,4,0,0
264,1,48,1976,5,1,1,3,1.0,1,1,1,17,1,11,2,37.0,381,2001,4,0,0
265,2,25,1999,5,2,2,0,,1,1,1,4,2,10,8,33.0,525,2017,4,0,0
266,1,40,1984,6,2,2,0,,1,1,1,15,2,5,3,40.0,198,2002,1,0,0
267,1,28,1996,3,2,2,0,,1,1,1,10,1,9,2,42.0,528,2024,4,1,1
268,1,43,1981,6,1,1,2,14.0,1,1,1,10,3,3,8,52.0,506,2014,4,0,0
269,1,28,1996,2,2,2,0,,1,1,2,4,5,8,2,44.0,726,2014,4,0,0
270,1,43,1981,2,2,2,0,,1,1,1,13,7,5,2,44.0,563,1999,2,0,0
271,1,36,1988,5,1,2,0,,1,1,2,12,5,12,8,41.0,763,2023,1,0,0
272,1,23,2001,4,2,2,0,,1,1,3,9,2,9,8,33.0,346,2019,4,0,0
273,1,27,1997,5,2,2,0,,1,1,2,8,3,1,8,38.0,358,2015,4,0,0
274,2,43,1981,2,1,2,0,,1,1,1,11,3,11,8,39.0,614,2021,3,0,0
275,2,26,1998,2,2,2,0,,1,1,1,9,2,9,8,51.0,178,2016,4,0,0
276,1,57,1967,5,1,2,0,,1,1,1,17,7,3,8,30.0,344,2020,4,0,0
277,1,53,1971,4,1,1,3,0.0,1,1,2,1,5,4,8,41.0,682,1996,3,0,0
278,1,51,1973,5,1,1,3,10.0,1,1,1,5,4,3,3,33.0,493,2004,3,0,0
279,2,29,1995,5,2,2,0,,1,1,1,15,4,4,2,45.0,369,2013,4,0,0
280,2,54,1970,3,1,2,0,,1,1,5,14,3,12,8,35.0,370,2007,4,0,0
281,1,48,1976,5,2,2,0,,1,1,2,6,3,11,2,47.0,389,1994,4,0,0
282,1,38,1986,4,1,2,0,,1,1,3,9,5,7,3,47.0,683,2013,4,0,0
283,1,23,2001,5,1,2,0,,1,1,1,1,7,5,2,38.0,629,2019,1,0,0
284,1,44,1980,3,1,1,1,2.0,1,1,4,4,4,5,3,39.0,452,2021,3,0,0
