pkey,gender,age,birth_year,education,has_spouse_raw,has_child_raw,num_children,youngest_child_age,emp_status,work_style,contract_type,industry,firm_size,occupation,position,weekly_hours,annual_income,current_job_start_year,intention,ev_quit,ev_started_job,year
71,1,22,1999,6,1,1,2,1.0,1,1,1,11,6,7,8,30.0,502,2017,4,0,0,2022
72,1,35,1986,3,1,1,2,13.0,1,1,4,12,1,11,8,59.0,754,2008,3,0,0,2022
73,2,46,1975,2,1,1,2,10.0,1,1,1,12,3,9,8,46.0,744,2012,4,0,0,2022
74,1,32,1989,4,1,1,2,9.0,1,1,3,16,4,3,8,54.0,609,2009,4,0,0,2022
75,1,52,1969,6,1,1,1,4.0,1,1,1,14,5,4,3,42.0,234,1995,4,0,0,2022
76,1,53,1968,5,1,1,2,13.0,1,1,2,6,5,4,8,40.0,295,2011,4,0,0,2022
77,1,41,1980,5,1,2,0,,1,1,1,3,3,9,8,35.0,275,1998,2,0,0,2022
78,2,35,1986,5,1,1,1,11.0,1,1,1,15,7,7,1,48.0,760,2017,4,0,0,2022
79,2,21,2000,3,2,2,0,,1,1,2,7,5,1,8,52.0,236,2018,1,0,0,2022
80,2,52,1969,6,1,2,0,,1,1,2,6,4,1,8,48.0,250,2012,3,0,0,2022
81,2,55,1966,4,1,2,0,,1,1,1,2,7,1,8,58.0,204,2021,4,0,0,2022
82,1,37,1984,2,1,2,0,,1,1,1,10,1,12,8,41.0,921,2002,4,0,0,2022
83,2,40,1981,5,1,1,3,2.0,1,1,1,9,5,7,8,35.0,399,2011,3,0,0,2022
84,1,50,1971,3,1,1,1,4.0,1,1,4,15,7,6,8,42.0,549,2018,3,0,0,2022
85,1,47,1974,3,2,2,0,,1,1,2,13,5,10,2,46.0,249,2003,3,0,0,2022
86,1,25,1996,6,1,1,2,2.0,1,1,3,13,4,3,3,38.0,583,2014,3,0,0,2022
87,2,46,1975,5,1,1,3,14.0,1,1,2,10,3,1,8,40.0,86,1993,4,0,0,2022
88,1,56,1965,4,1,1,1,8.0,1,1,3,15,2,4,2,42.0,257,2018,4,0,0,2022
89,1,50,1971,5,1,2,0,,1,1,1,17,4,3,8,44.0,283,1998,3,0,0,2022
90,1,39,1982,5,1,1,1,10.0,1,1,1,14,7,10,8,41.0,516,2011,4,0,0,2022
91,1,40,1981,3,1,1,3,5.0,1,1,2,6,4,10,3,42.0,281,1999,1,0,0,2022
92,2,30,1991,3,2,2,0,,1,1,1,5,1,8,8,45.0,673,2009,4,0,0,2022
93,1,46,1975,5,2,2,0,,1,1,1,1,4,11,8,46.0,487,2000,4,0,0,2022
94,1,29,1992,5,1,1,1,10.0,1,1,2,17,1,6,3,36.0,311,2010,3,0,0,2022
95,1,33,1988,7,1,2,0,,1,1,3,13,7,3,1,25.0,599,2006,3,0,0,2022
96,2,30,1991,5,1,1,2,9.0,1,1,2,16,4,4,8,32.0,385,2017,2,0,0,2022
97,1,33,1988,3,1,2,0,,1,1,1,14,2,2,8,44.0,314,2006,4,0,0,2022
98,1,34,1987,5,1,1,1,10.0,1,1,5,8,5,11,2,34.0,639,2017,4,0,0,2022
99,1,23,1998,5,2,2,0,,1,1,1,3,4,8,1,42.0,80,2016,4,0,0,2022
100,2,48,1973,3,1,1,2,18.0,1,1,1,1,4,10,8,40.0,503,2003,4,0,0,2022
101,2,37,1984,5,2,2,0,,1,1,5,14,5,4,8,41.0,311,2016,1,0,0,2022
102,2,57,1964,4,1,1,2,0.0,1,1,2,6,7,9,8,44.0,288,2013,4,0,0,2022
103,1,27,1994,6,2,2,0,,1,1,4,7,6,4,8,50.0,772,2012,3,0,0,2022
104,2,46,1975,6,1,2,0,,1,1,3,15,2,6,8,40.0,310,2002,4,0,0,2022
105,2,27,1994,5,2,2,0,,1,1,2,9,2,8,8,32.0,562,2015,2,0,0,2022
106,2,41,1980,7,1,1,1,11.0,1,1,1,17,7,12,8,42.0,495,1998,3,0,0,2022
107,1,39,1982,7,1,2,0,,1,1,1,10,5,7,8,46.0,496,2000,4,0,0,2022
108,1,37,1984,3,2,2,0,,1,1,4,15,1,9,8,22.0,357,2019,2,0,0,2022
109,1,46,1975,5,1,1,1,10.0,1,1,3,3,4,8,1,34.0,388,2013,3,0,0,2022
110,2,53,1968,5,1,1,1,1.0,1,1,1,7,1,6,8,40.0,754,1996,4,0,0,2022
111,1,32,1989,3,1,1,1,12.0,1,1,1,4,1,12,2,36.0,592,2011,4,0,0,2022
112,1,53,1968,5,1,2,0,,1,1,1,1,2,12,8,41.0,355,2020,1,0,0,2022
113,1,27,1994,4,1,1,1,12.0,1,1,1,17,2,4,8,35.0,221,2012,2,0,0,2022
114,2,31,1990,7,2,2,0,,1,1,3,9,1,11,3,47.0,330,2008,4,0,0,2022
115,1,32,1989,5,2,2,0,,1,1,1,7,6,6,8,40.0,611,2007,4,0,0,2022
116,2,58,1963,5,1,1,2,10.0,1,1,1,7,4,9,8,26.0,612,1992,3,0,0,2022
117,2,24,1997,5,1,1,3,16.0,1,1,4,5,4,7,8,46.0,592,2018,4,0,0,2022
118,2,35,1986,3,2,2,0,,1,1,1,3,7,10,8,46.0,133,2004,4,0,0,2022
119,1,36,1985,6,1,2,0,,1,1,1,16,6,11,8,40.0,544,2003,2,0,0,2022
120,2,52,1969,2,1,1,1,5.0,1,1,1,2,6,6,2,25.0,665,1992,3,0,0,2022
121,2,39,1982,3,1,1,2,8.0,1,1,1,7,2,9,8,47.0,434,2006,4,0,0,2022
122,2,58,1963,5,1,1,2,12.0,1,1,1,3,6,7,8,32.0,734,1997,3,0,0,2022
123,1,49,1972,5,1,1,2,19.0,1,1,1,16,7,10,8,37.0,180,2017,4,0,0,2022
124,1,48,1973,5,1,1,1,17.0,1,1,1,4,1,3,8,35.0,539,2020,3,0,0,2022
125,1,50,1971,3,1,2,0,,1,1,1,7,7,9,8,28.0,229,2000,4,0,0,2022
126,1,26,1995,5,2,2,0,,1,1,1,13,7,8,8,40.0,666,2021,1,0,0,2022
127,1,37,1984,4,2,2,0,,1,1,1,10,6,6,1,42.0,514,2002,4,0,0,2022
128,1,43,1978,2,1,2,0,,1,1,4,7,3,5,8,41.0,714,2021,2,0,0,2022
129,1,28,1993,5,1,2,0,,1,1,1,10,2,9,2,38.0,481,2011,4,0,0,2022
130,2,24,1997,3,2,2,0,,1,1,1,8,6,5,3,34.0,326,2015,2,0,0,2022
131,1,25,1996,4,2,2,0,,1,1,3,5,5,1,3,52.0,357,2014,4,0,0,2022
132,2,51,1970,5,2,2,0,,1,1,1,11,6,12,8,41.0,386,2003,4,0,0,2022
133,2,46,1975,5,1,2,0,,1,1,1,7,2,6,8,33.0,347,2008,4,0,0,2022
134,1,31,1990,4,2,2,0,,1,1,3,17,2,2,8,44.0,713,2008,4,0,0,2022
135,2,49,1972,5,1,1,3,15.0,1,1,1,8,7,3,8,43.0,646,2006,3,0,0,2022
136,1,47,1974,4,1,2,0,,1,1,1,13,4,10,1,45.0,166,2001,4,0,0,2022
137,2,52,1969,7,1,1,2,16.0,1,1,2,4,6,4,8,40.0,417,2000,3,0,0,2022
138,1,56,1965,4,1,2,0,,1,1,2,11,7,4,8,35.0,409,2008,3,0,0,2022
139,2,55,1966,4,1,1,3,18.0,1,1,1,10,4,6,8,29.0,290,2011,4,0,0,2022
140,1,27,1994,5,2,2,0,,1,1,1,13,2,1,2,36.0,511,2020,4,0,0,2022
141,1,50,1971,4,1,2,0,,1,1,1,8,7,7,8,27.0,699,1998,3,0,0,2022
142,1,35,1986,4,1,1,2,2.0,1,1,3,13,6,1,8,42.0,625,2015,4,0,0,2022
143,2,36,1985,3,1,1,2,10.0,1,1,1,1,5,11,8,27.0,677,2008,3,0,0,2022
144,2,45,1976,5,1,2,0,,1,1,1,12,7,6,3,37.0,300,1994,3,0,0,2022
145,1,44,1977,5,1,2,0,,1,1,1,13,2,3,8,46.0,468,1998,4,0,0,2022
146,1,36,1985,5,2,2,0,,1,1,4,9,3,6,8,38.0,291,2011,3,0,0,2022
147,1,59,1962,5,1,1,3,14.0,1,1,1,1,1,3,8,40.0,484,2007,3,0,0,2022
148,1,26,1995,5,2,2,0,,1,1,1,10,3,4,2,44.0,446,2013,2,0,0,2022
149,1,23,1998,6,2,2,0,,1,1,1,14,4,2,2,44.0,734,2016,4,0,0,2022
150,1,21,2000,5,2,2,0,,1,1,2,8,4,9,8,48.0,604,2018,2,0,0,2022
151,2,52,1969,6,1,1,3,4.0,1,1,1,2,2,12,8,45.0,535,1993,3,0,0,2022
152,2,36,1985,5,1,1,2,19.0,1,1,4,7,6,6,8,43.0,260,2003,2,0,0,2022
153,1,37,1984,5,2,2,0,,1,1,1,17,4,2,8,24.0,202,2013,4,0,0,2022
154,2,45,1976,4,2,2,0,,1,1,1,5,4,1,2,42.0,503,2015,3,0,0,2022
155,1,37,1984,5,2,2,0,,1,1,1,10,7,10,8,53.0,719,2005,4,0,0,2022
156,2,42,1979,3,1,1,3,3.0,1,1,1,7,4,5,2,45.0,408,2002,4,0,0,2022
157,1,22,1999,5,1,2,0,,1,1,1,13,7,4,3,48.0,138,2017,2,0,0,2022
158,2,26,1995,2,2,2,0,,1,1,2,8,2,2,2,35.0,834,2020,1,0,0,2022
159,2,57,1964,2,1,1,3,1.0,1,1,1,7,6,8,8,39.0,494,2000,3,0,0,2022
160,2,38,1983,6,1,2,0,,1,1,2,10,7,1,8,45.0,463,2020,3,0,0,2022
161,1,26,1995,5,1,1,2,13.0,1,1,1,10,6,11,8,44.0,221,2013,2,0,0,2022
162,2,34,1987,5,2,2,0,,1,1,1,9,7,3,1,46.0,478,2005,4,0,0,2022
163,1,33,1988,5,1,1,3,19.0,1,1,1,5,6,1,8,31.0,511,2006,4,0,0,2022
164,1,30,1991,5,1,1,1,8.0,1,1,1,2,5,9,2,34.0,514,2009,4,0,0,2022
165,2,31,1990,6,2,2,0,,1,1,1,12,6,5,8,30.0,300,2017,4,0,0,2022
166,1,49,1972,5,1,2,0,,1,1,4,6,7,9,8,42.0,416,2001,4,0,0,2022
167,2,24,1997,5,1,1,1,14.0,1,1,4,11,5,1,1,39.0,361,2020,2,0,0,2022
168,2,32,1989,5,1,1,2,17.0,1,1,3,7,5,11,8,38.0,723,2015,4,0,0,2022
169,1,38,1983,5,2,2,0,,1,1,4,15,1,4,1,35.0,502,2018,4,0,0,2022
170,2,41,1980,5,1,2,0,,1,1,1,13,7,10,8,33.0,327,1998,4,0,0,2022
171,1,55,1966,7,1,1,2,5.0,1,1,1,7,6,12,8,40.0,211,2010,3,0,0,2022
172,1,56,1965,5,1,2,0,,1,1,1,6,2,7,8,49.0,470,2005,4,0,0,2022
173,1,31,1990,5,2,2,0,,1,1,4,13,3,5,8,53.0,322,2008,2,0,0,2022
174,2,41,1980,5,1,1,3,16.0,1,1,1,1,2,4,8,53.0,323,1998,1,0,0,2022
175,1,20,2001,5,2,2,0,,1,1,1,1,3,9,1,36.0,247,2019,4,0,0,2022
176,1,44,1977,7,1,1,2,7.0,1,1,2,2,7,1,8,31.0,246,2017,4,0,0,2022
177,1,26,1995,5,2,2,0,,1,1,1,6,4,2,8,47.0,451,2013,4,0,0,2022
178,2,22,1999,5,2,2,0,,1,1,2,9,3,8,3,50.0,425,2017,2,0,0,2022
179,2,46,1975,5,1,2,0,,1,1,1,5,6,1,2,43.0,837,1998,4,0,0,2022
180,2,27,1994,5,2,2,0,,1,1,2,4,3,4,3,40.0,554,2012,4,0,0,2022
181,2,39,1982,2,1,1,2,12.0,1,1,3,6,7,8,8,35.0,200,2015,4,0,0,2022
182,2,24,1997,5,1,1,2,11.0,1,1,2,9,6,4,8,45.0,152,2015,2,0,0,2022
183,1,49,1972,6,1,1,1,17.0,1,1,1,6,2,12,8,45.0,466,2007,3,0,0,2022
184,1,50,1971,5,1,1,2,15.0,1,1,1,10,5,12,8,42.0,364,1999,3,0,0,2022
185,2,42,1979,4,1,1,2,14.0,1,1,1,7,4,1,3,31.0,747,2010,4,0,0,2022
186,2,53,1968,5,1,2,0,,1,1,1,16,3,3,8,32.0,480,2007,4,0,0,2022
187,1,37,1984,5,1,1,2,19.0,1,1,1,17,7,11,3,39.0,80,2021,4,0,0,2022
188,1,27,1994,4,1,1,2,16.0,1,1,1,12,3,1,1,48.0,241,2021,2,0,0,2022
189,2,26,1995,5,2,2,0,,1,1,1,10,1,6,8,47.0,312,2021,1,0,0,2022
190,1,28,1993,5,2,2,0,,1,1,1,1,3,12,8,37.0,534,2016,3,0,0,2022
191,2,28,1993,6,1,2,0,,1,1,4,11,4,8,8,25.0,254,2011,4,0,0,2022
192,1,32,1989,3,2,2,0,,1,1,1,7,1,4,8,51.0,495,2020,4,0,0,2022
193,1,28,1993,4,1,1,2,7.0,1,1,1,5,6,1,8,50.0,181,2017,3,0,0,2022
194,2,43,1978,5,2,2,0,,1,1,1,14,2,5,8,41.0,411,1996,3,0,0,2022
195,1,25,1996,2,2,2,0,,1,1,1,1,1,7,8,37.0,461,2014,4,0,0,2022
196,1,44,1977,5,1,1,2,18.0,1,1,4,5,4,1,3,38.0,671,2013,2,0,0,2022
197,2,33,1988,5,2,2,0,,1,1,1,14,2,7,3,47.0,484,2006,4,0,0,2022
198,2,47,1974,3,1,2,0,,1,1,2,16,6,5,8,44.0,255,2018,4,0,0,2022
199,1,40,1981,5,1,1,1,19.0,1,1,2,9,1,4,8,37.0,661,2021,2,0,0,2022
200,1,56,1965,7,1,1,1,5.0,1,1,3,9,3,12,8,58.0,406,2011,4,0,0,2022
201,2,37,1984,5,2,2,0,,1,1,2,17,1,11,8,28.0,546,2014,4,0,0,2022
202,2,31,1990,5,2,2,0,,1,1,2,2,3,9,8,35.0,321,2019,4,0,0,2022
203,1,43,1978,5,1,2,0,,1,1,1,9,7,8,3,35.0,422,1996,4,0,0,2022
204,1,46,1975,4,1,2,0,,1,1,1,5,5,6,8,41.0,285,1993,4,0,0,2022
205,1,37,1984,3,1,1,1,6.0,1,1,2,9,4,1,3,49.0,463,2013,4,0,0,2022
206,1,42,1979,5,1,1,1,17.0,1,1,1,16,2,4,3,47.0,509,2012,3,0,0,2022
207,1,38,1983,5,1,2,0,,1,1,1,11,3,1,8,41.0,355,2001,4,0,0,2022
208,2,32,1989,4,1,1,3,3.0,1,1,1,17,3,5,3,29.0,312,2007,3,0,0,2022
209,1,32,1989,2,2,2,0,,1,1,1,9,5,6,2,48.0,484,2013,3,0,0,2022
210,1,56,1965,6,1,1,2,9.0,1,1,1,15,2,8,3,31.0,264,2001,4,0,0,2022
211,2,47,1974,2,2,2,0,,1,1,1,3,7,5,8,37.0,154,2021,4,0,0,2022
212,2,23,1998,5,2,2,0,,1,1,1,6,5,4,8,39.0,500,2016,3,0,0,2022
213,1,58,1963,5,1,1,1,0.0,1,1,1,5,3,9,1,34.0,420,1992,3,0,0,2022
214,2,48,1973,5,1,1,1,17.0,1,1,1,14,1,2,8,33.0,390,2007,4,0,0,2022
215,2,22,1999,4,1,1,3,4.0,1,1,2,9,5,2,2,47.0,520,2017,4,0,0,2022
216,2,49,1972,4,1,1,2,5.0,1,1,1,4,4,9,2,52.0,561,2001,4,0,0,2022
217,1,43,1978,5,1,1,1,16.0,1,1,2,3,5,8,3,39.0,433,2003,3,0,0,2022
218,1,56,1965,5,1,2,0,,1,1,1,7,5,11,8,26.0,225,2001,4,0,0,2022
219,2,39,1982,4,1,1,2,18.0,1,1,1,3,5,9,1,42.0,291,2000,4,0,0,2022
220,1,40,1981,5,1,1,1,5.0,1,1,2,12,6,11,2,34.0,542,2021,3,0,0,2022
221,1,32,1989,5,1,1,1,14.0,1,1,3,15,4,8,2,43.0,447,2007,4,0,0,2022
222,1,32,1989,4,1,1,3,3.0,1,1,2,17,6,11,8,42.0,287,2007,3,0,0,2022
223,2,44,1977,5,1,1,1,8.0,1,1,2,5,3,3,3,25.0,252,1995,3,0,0,2022
224,2,53,1968,3,1,1,1,5.0,1,1,2,8,7,7,8,37.0,537,2010,4,0,0,2022
225,1,55,1966,5,1,1,3,4.0,1,1,2,9,3,12,2,45.0,386,2004,2,0,0,2022
226,2,50,1971,3,1,1,1,17.0,1,1,2,9,5,10,8,39.0,554,2011,4,0,0,2022
227,1,44,1977,5,1,1,3,17.0,1,1,2,8,7,5,3,31.0,618,1996,4,0,0,2022
228,2,40,1981,5,1,2,0,,1,1,1,4,3,12,8,45.0,349,2009,4,0,0,2022
229,2,33,1988,5,1,1,2,7.0,1,1,1,2,1,4,3,27.0,551,2012,4,0,0,2022
230,1,50,1971,5,1,2,0,,1,1,1,7,2,1,8,42.0,430,2001,3,0,0,2022
231,1,32,1989,6,2,2,0,,1,1,1,2,2,10,3,36.0,458,2020,3,0,0,2022
232,1,30,1991,5,2,2,0,,1,1,2,2,1,5,1,43.0,81,2010,3,0,0,2022
233,2,54,1967,6,1,1,1,11.0,1,1,1,9,4,1,8,38.0,237,2015,4,0,0,2022
234,2,43,1978,4,1,2,0,,1,1,1,15,2,3,8,44.0,226,2010,3,0,0,2022
235,2,34,1987,5,1,1,2,3.0,1,1,2,10,1,1,8,51.0,312,2008,4,0,0,2022
236,2,54,1967,3,1,2,0,,1,1,1,1,1,12,8,46.0,450,2020,4,0,0,2022
237,1,58,1963,5,1,2,0,,1,1,3,15,2,11,3,45.0,424,1996,4,0,0,2022
238,2,32,1989,5,1,1,1,3.0,1,1,1,12,3,12,8,45.0,422,2009,4,0,0,2022
239,1,40,1981,6,1,1,1,16.0,1,1,1,6,7,3,8,26.0,312,2011,4,0,0,2022
240,1,39,1982,5,1,1,1,7.0,1,1,1,5,5,10,3,41.0,603,2017,3,0,0,2022
241,2,48,1973,5,1,1,3,9.0,1,1,1,16,6,7,2,42.0,753,1992,3,0,0,2022
242,2,58,1963,4,1,2,0,,1,1,1,9,5,4,2,44.0,367,1996,4,0,0,2022
243,1,41,1980,2,1,2,0,,1,1,1,3,6,9,8,39.0,310,2007,4,0,0,2022
244,1,51,1970,5,1,1,2,8.0,1,1,1,5,3,12,8,46.0,260,2011,4,0,0,2022
245,2,43,1978,4,1,1,3,17.0,1,1,1,5,1,6,3,32.0,465,2007,4,0,0,2022
246,2,55,1966,3,1,1,3,11.0,1,1,2,7,4,1,8,56.0,354,1993,4,0,0,2022
247,2,36,1985,6,1,2,0,,1,1,1,6,1,11,8,44.0,122,2015,2,0,0,2022
248,1,35,1986,7,1,1,3,18.0,1,1,1,10,2,3,8,33.0,156,2004,4,0,0,2022
249,1,36,1985,5,1,1,2,5.0,1,1,1,6,6,3,1,51.0,572,2003,4,0,0,2022
250,1,59,1962,5,1,1,2,14.0,1,1,4,11,4,8,8,31.0,714,1999,3,0,0,2022
251,2,44,1977,6,1,2,0,,1,1,2,9,5,10,3,40.0,740,1995,4,0,0,2022
252,2,26,1995,4,2,2,0,,1,1,5,16,4,10,3,41.0,492,2013,4,0,0,2022
253,1,21,2000,5,1,1,1,12.0,1,1,4,15,4,11,8,37.0,236,2020,1,0,0,2022
254,1,40,1981,5,1,2,0,,1,1,1,6,3,11,3,39.0,352,2014,2,0,0,2022
255,1,52,1969,6,1,2,0,,1,1,2,1,2,2,8,41.0,144,2017,4,0,0,2022
256,2,39,1982,6,2,2,0,,1,1,1,10,2,4,3,31.0,147,2004,3,0,0,2022
257,2,42,1979,5,1,2,0,,1,1,4,6,6,9,8,42.0,463,2009,4,0,0,2022
258,1,51,1970,3,1,1,1,6.0,1,1,1,16,7,5,3,40.0,597,2020,4,0,0,2022
259,1,40,1981,5,1,1,2,13.0,1,1,1,7,1,9,8,56.0,810,2005,3,0,0,2022
260,2,56,1965,4,1,1,2,9.0,1,1,4,5,4,6,1,52.0,359,2018,4,0,0,2022
261,1,45,1976,6,1,1,2,19.0,1,1,3,6,4,6,1,34.0,178,2009,1,0,0,2022
262,2,49,1972,3,1,2,0,,1,1,4,15,4,1,2,39.0,413,2011,4,0,0,2022
263,1,51,1970,3,1,1,2,14.0,1,1,1,2,2,8,3,34.0,364,1995,4,0,0,2022
264,1,45,1976,5,1,1,2,10.0,1,1,1,17,1,11,2,38.0,315,2001,4,0,0,2022
265,2,22,1999,5,2,2,0,,1,1,1,4,2,10,8,47.0,508,2017,1,0,0,2022
266,1,37,1984,6,2,2,0,,1,1,1,15,2,5,8,39.0,193,2002,1,0,0,2022
267,1,25,1996,3,2,2,0,,1,1,1,10,1,9,8,36.0,465,2016,4,0,0,2022
